,Country1,Intrapartum ,lat,lon
0,Afghanistan,26.8,33.93911,67.709953
1,Angola,30.3,-11.202691999999999,17.873887
2,Benin,25.8,9.30769,2.315834
3,Burkina Faso,26.8,12.238333,-1.561593
4,Burundi,30.0,-3.3730559999999996,29.918885999999997
5,Cameroon,32.0,7.369722,12.354722
6,Central African Republic,33.1,6.611111,20.939444
7,Chad,32.2,15.454166,18.732207
8,China,27.2,35.86166,104.195397
9,Djibouti,28.6,11.825138,42.590275
10,Equatorial Guinea,27.5,1.6508009999999997,10.267895
11,Eritrea,25.4,15.179383999999999,39.782334000000006
12,Ethiopia,29.6,9.145,40.489672999999996
13,Ghana,29.2,7.946527000000001,-1.0231940000000002
14,Guatemala,31.6,15.783470999999999,-90.23075899999999
15,Guinea,28.6,9.945587,-9.696645
16,Guinea-Bissau,28.3,11.803749,-15.180413
17,Haiti,25.9,18.971187,-72.28521500000001
18,Kenya,31.4,-0.023559,37.906193
19,Kiribati,31.5,-3.3704169999999998,-168.734039
20,Latvia,25.7,56.879635,24.603189
21,Lesotho,31.6,-29.609988,28.233608
22,Liberia,26.5,6.4280550000000005,-9.429499
23,Madagascar,29.3,-18.766947000000002,46.869107
24,Malawi,42.8,-13.254307999999998,34.301525
25,Mali,29.2,17.570692,-3.9961660000000006
26,Montenegro,27.9,42.708678000000006,19.37439
27,Mozambique,29.6,-18.665695,35.529562
28,Niger,25.8,17.607789,8.081666
29,Nigeria,29.0,9.081999,8.675277000000001
30,Papua New Guinea,48.7,-6.314993,143.95555
31,Rwanda,27.5,-1.940278,29.873888
32,Senegal,28.2,14.497401000000002,-14.452361999999999
33,Sierra Leone,30.9,8.460555000000001,-11.779889
34,Somalia,27.4,5.152149,46.199616
35,Sudan,27.2,12.862807,30.217636
36,Swaziland,58.5,-26.522503000000004,31.465866
37,Tanzania,25.5,-6.369028,34.888822
38,Togo,25.7,8.619543,0.824782
39,Uganda,28.9,1.373333,32.290275
40,Zambia,38.6,-13.133897,27.849332
41,Zimbabwe,35.8,-19.015438,29.154857
42,,28.1,,
43,,26.9,,
44,,29.3,,
45,,30.5,,
46,,30.0,,
47,,28.6,,
48,,30.2,,
49,,28.5,,
