,Country1,Sepis ,lat,lon
0,Afghanistan,18.3,33.93911,67.709953
1,Angola,15.9,-11.202691999999999,17.873887
2,Bangladesh,19.9,23.684994,90.35633100000001
3,Barbados,21.3,13.193887,-59.543198
4,Benin,21.7,9.30769,2.315834
5,Bhutan,16.4,27.514162,90.433601
6,Burkina Faso,22.5,12.238333,-1.561593
7,Burundi,16.9,-3.3730559999999996,29.918885999999997
8,Cambodia,17.0,12.565679,104.990963
9,Cameroon,18.0,7.369722,12.354722
10,Dominica,16.0,15.414999,-61.370976
11,Eritrea,20.2,15.179383999999999,39.782334000000006
12,Estonia,25.5,58.595271999999994,25.013607
13,Ethiopia,21.2,9.145,40.489672999999996
14,Ghana,17.1,7.946527000000001,-1.0231940000000002
15,Guatemala,18.5,15.783470999999999,-90.23075899999999
16,Guinea,20.4,9.945587,-9.696645
17,Guinea-Bissau,18.9,11.803749,-15.180413
18,Haiti,17.0,18.971187,-72.28521500000001
19,Iceland,21.2,64.96305100000001,-19.020835
20,Kenya,20.6,-0.023559,37.906193
21,Liberia,18.6,6.4280550000000005,-9.429499
22,Lithuania,16.5,55.169438,23.881275
23,Madagascar,15.8,-18.766947000000002,46.869107
24,Malawi,17.6,-13.254307999999998,34.301525
25,Mali,22.0,17.570692,-3.9961660000000006
26,Mauritania,16.1,21.00789,-10.940835
27,Morocco,17.1,31.791702,-7.09262
28,Mozambique,18.6,-18.665695,35.529562
29,Nepal,22.1,28.394857000000002,84.12400799999999
30,Niger,20.1,17.607789,8.081666
31,Nigeria,16.7,9.081999,8.675277000000001
32,Pakistan,20.9,30.375321000000003,69.345116
33,Rwanda,18.4,-1.940278,29.873888
34,Senegal,20.5,14.497401000000002,-14.452361999999999
35,Sierra Leone,16.2,8.460555000000001,-11.779889
36,Sudan,17.2,12.862807,30.217636
37,Suriname,18.1,3.9193050000000005,-56.02778299999999
38,Tanzania,17.8,-6.369028,34.888822
39,Togo,22.0,8.619543,0.824782
40,Uganda,22.0,1.373333,32.290275
41,Venezuela,19.9,6.42375,-66.58973
42,Yemen,16.9,15.552726999999999,48.516388
43,Zambia,19.7,-13.133897,27.849332
44,,19.0,,
45,,19.5,,
46,,18.2,,
47,,16.6,,
48,,16.1,,
49,,18.2,,
